duration,subjID,stimulus,neg_s_residual,abs_s_residual,abs_error,error,groundPlane,actual_depth
250,723081,002805_2014-06-22_19-54-03_094959634447_rgbf000079-resize,-0.165829052,0.165829052,3.264244693,-3.264244693,7.377848173,3.144
250,723081,002467_2014-06-28_20-38-07_260595134347_rgbf000026-resize,-0.060856344,0.060856344,3.918786334,-3.918786334,15.33104622,4.742
250,723081,001810_2014-06-26_20-51-35_260595134347_rgbf000040-resize,-0.169779784,0.169779784,2.844473872,-2.844473872,22.41139141,2.2525
250,723081,003010_2014-06-15_12-54-35_094959634447_rgbf000112-resize,-0.152448962,0.152448962,3.238744693,-3.238744693,6.696951334,3.1185
250,723081,001167_2014-06-17_15-38-07_260595134347_rgbf000108-resize,-0.430575777,0.430575777,2.914203052,-2.914203052,12.01905066,1.8505
250,723081,003587_2014-05-23_16-48-02_094959634447_rgbf002384-resize,-0.643360858,0.643360858,2.892432232,-2.892432232,20.78817272,1.357
250,673972,001808_2014-06-26_20-50-58_260595134347_rgbf000029-resize,-0.646663239,0.646663239,4.270274972,-4.270274972,20.03065155,4.249
250,673972,001815_2014-06-26_20-52-55_260595134347_rgbf000020-resize,-0.301162514,0.301162514,3.51483612,-3.51483612,18.62632266,3.3865
250,673972,001029_2014-06-08_13-17-57_260595134347_rgbf000065-resize,-0.249236708,0.249236708,3.318897269,-3.318897269,18.20973466,3.0835
250,673972,000677_2014-06-08_23-10-32_260595134347_rgbf000158-resize,-0.39010076,0.39010076,3.68433612,-3.68433612,19.65196273,3.556
250,673972,001417_2014-06-19_16-25-36_260595134347_rgbf000115-resize,-0.415971741,0.415971741,4.218530377,-4.218530377,49.1709127,4.6255
250,673972,003081_2014-06-15_15-19-16_094959634447_rgbf000150-resize,-0.255976222,0.255976222,3.719652675,-3.719652675,16.63299165,3.9125
250,673972,000682_2014-06-08_23-14-58_260595134347_rgbf000041-resize,-0.167664821,0.167664821,3.066458418,-3.066458418,8.707843072,2.724
250,673972,001650_2014-06-20_12-09-00_260595134347_rgbf000087-resize,-0.082985531,0.082985531,2.614141864,-2.614141864,47.68045959,1.9505
250,673972,001244_2014-06-17_16-47-45_260595134347_rgbf000030-resize,-0.024197649,0.024197649,2.599080715,-2.599080715,6.762963881,2.0425
250,673972,001158_2014-06-17_15-32-16_260595134347_rgbf000138-resize,-1.009015947,1.009015947,4.766897269,-4.766897269,26.95445197,4.5315
250,673972,000556_2014-06-09_22-42-56_260595134347_rgbf000214-resize,-0.95755357,0.95755357,4.862774972,-4.862774972,23.88242026,4.8415
250,673972,001150_2014-06-17_15-27-34_260595134347_rgbf000108-resize,-0.318941352,0.318941352,3.839652675,-3.839652675,11.08813907,4.0325
250,673972,000665_2014-06-09_20-42-35_260595134347_rgbf000110-resize,-0.021209611,0.021209611,3.078274972,-3.078274972,18.49880761,3.057
250,673972,002375_2014-06-28_20-13-44_260595134347_rgbf000032-resize,-0.739315306,0.739315306,4.252897269,-4.252897269,48.7610365,4.0175
250,673972,000788_2014-06-08_22-34-36_260595134347_rgbf000131-resize,-0.179671856,0.179671856,3.380274972,-3.380274972,21.46386214,3.359
250,673972,001235_2014-06-17_16-37-36_260595134347_rgbf000084-resize,-0.551994043,0.551994043,3.895897269,-3.895897269,14.54770666,3.6605
250,673972,001094_2014-06-15_17-36-00_260595134347_rgbf000205-resize,-0.201890298,0.201890298,3.810530377,-3.810530377,17.19677127,4.2175
250,673972,001100_2014-06-15_17-46-26_260595134347_rgbf000225-resize,-0.127827759,0.127827759,2.796580715,-2.796580715,9.548860597,2.24
250,673972,002103_2014-06-25_20-00-40_260595134347_rgbf000049-resize,-0.356982785,0.356982785,3.912152675,-3.912152675,11.59801887,4.105
250,673972,000691_2014-06-08_13-08-50_260595134347_rgbf000132-resize,-0.596291135,0.596291135,4.174274972,-4.174274972,14.74084621,4.153
250,673972,000929_2014-06-09_16-33-19_260595134347_rgbf000139-resize,-0.02910068,0.02910068,2.99633612,-2.99633612,19.50133801,2.868
250,673972,000457_2014-06-08_16-52-43_260595134347_rgbf000199-resize,-0.11771529,0.11771529,3.456152675,-3.456152675,14.06727982,3.649
250,673972,003621_2014-05-23_18-06-08_094959634447_rgbf000101-resize,-0.079108294,0.079108294,3.576530377,-3.576530377,23.0717647,3.9835
250,673972,003490_2014-05-21_15-50-11_094959634447_rgbf000101-resize,-0.115354098,0.115354098,3.451652675,-3.451652675,19.99945736,3.6445
250,673972,003048_2014-06-15_13-49-43_094959634447_rgbf000150-resize,-0.517847077,0.517847077,4.024774972,-4.024774972,24.35560653,4.0035
250,673972,000736_2014-06-08_18-24-15_260595134347_rgbf000206-resize,-0.368587674,0.368587674,3.64333612,-3.64333612,33.40817061,3.515
250,673972,000137_2014-05-20_17-04-49_260595134347_rgbf000120-resize,-0.189600481,0.189600481,3.593152675,-3.593152675,14.89611111,3.786
250,673972,000642_2014-06-08_16-59-25_260595134347_rgbf000098-resize,-0.143245405,0.143245405,3.116897269,-3.116897269,31.36214301,2.8815
250,673972,002425_2014-06-28_20-27-29_260595134347_rgbf000031-resize,-0.247318517,0.247318517,3.703152675,-3.703152675,8.404958011,3.896
250,673972,001056_2014-06-08_18-46-44_260595134347_rgbf000068-resize,-0.028334043,0.028334043,2.897897269,-2.897897269,11.38594592,2.6625
250,673972,002199_2014-06-28_18-33-56_260595134347_rgbf000074-resize,-0.106859809,0.106859809,2.659641864,-2.659641864,17.12852126,1.996
250,673972,002323_2014-06-28_20-01-54_260595134347_rgbf000051-resize,-0.37486376,0.37486376,3.752274972,-3.752274972,18.09172628,3.731
250,673972,000414_2014-06-04_19-49-13_260595134347_rgbf000044-resize,-0.474517695,0.474517695,4.136152675,-4.136152675,13.24134837,4.329
250,673972,003129_2014-05-12_10-48-10_094959634447_rgbf000100-resize,-0.790130411,0.790130411,4.737652675,-4.737652675,17.90745438,4.9305
250,673972,002988_2014-06-15_12-24-20_094959634447_rgbf000150-resize,-0.490218124,0.490218124,4.360030377,-4.360030377,14.46030657,4.767
250,673972,001052_2014-06-08_18-24-54_260595134347_rgbf000130-resize,-0.142598133,0.142598133,3.697530377,-3.697530377,25.87613691,4.1045
