duration,subjID,stimulus,pos_s_residual,abs_s_residual,abs_error,error,groundPlane,actual_depth
1000,596417,001199_2014-06-17_16-03-48_260595134347_rgbf000077-resize,0.741691592,0.741691592,2.488847499,-2.488847499,28.28224985,3.4375
1000,596417,003083_2014-06-15_15-21-03_094959634447_rgbf000063-resize,0.578034,0.578034,2.973038424,-2.973038424,19.17283446,4.1405
1000,596417,001617_2014-06-20_11-35-32_260595134347_rgbf000066-resize,0.768179235,0.768179235,2.623538424,-2.623538424,19.97416996,3.791
1000,596417,000493_2014-06-09_21-01-18_260595134347_rgbf000196-resize,0.521522394,0.521522394,2.710156574,-2.710156574,19.62928538,3.44
1000,596417,000191_2014-05-12_17-07-38_260595134347_rgbf000199-resize,0.763554816,0.763554816,2.632038424,-2.632038424,12.34075727,3.7995
1000,596417,002600_2014-06-24_14-27-04_094959634447_rgbf000074-resize,0.017599751,0.017599751,2.902892872,-2.902892872,44.47386082,2.7575
1000,596417,002678_2014-06-13_16-15-32_094959634447_rgbf000151-resize,0.330156081,0.330156081,2.328392872,-2.328392872,32.96558503,2.183
1000,596417,000009_2014-05-26_14-32-05_260595134347_rgbf000034-resize,0.286765116,0.286765116,3.141656574,-3.141656574,34.79652683,3.8715
1000,596417,000906_2014-06-08_13-35-43_260595134347_rgbf000155-resize,0.624246463,0.624246463,2.337965648,-2.337965648,16.12201726,2.849
1000,596417,002805_2014-06-22_19-54-03_094959634447_rgbf000079-resize,0.244942841,0.244942841,2.851774723,-2.851774723,7.377848173,3.144
1000,596417,001110_2014-06-15_17-25-28_260595134347_rgbf000150-resize,0.149057182,0.149057182,2.294511021,-2.294511021,9.336195527,1.7115
1000,596417,000927_2014-06-09_16-32-30_260595134347_rgbf000123-resize,0.498197796,0.498197796,2.386274723,-2.386274723,11.71523965,2.6785
1000,596417,002467_2014-06-28_20-38-07_260595134347_rgbf000026-resize,0.031979265,0.031979265,3.793347499,-3.793347499,15.33104622,4.742
1000,596417,003010_2014-06-15_12-54-35_094959634447_rgbf000112-resize,0.477625173,0.477625173,2.607465648,-2.607465648,6.696951334,3.1185
1000,596417,002875_2014-06-01_15-19-00_094959634447_rgbf000151-resize,0.009780558,0.009780558,2.550511021,-2.550511021,11.62568094,1.9675
1000,480789,001808_2014-06-26_20-50-58_260595134347_rgbf000029-resize,0.385922347,0.385922347,3.214620727,-3.214620727,20.03065155,4.249
1000,480789,001815_2014-06-26_20-52-55_260595134347_rgbf000020-resize,0.855164879,0.855164879,2.352120727,-2.352120727,18.62632266,3.3865
1000,480789,001158_2014-06-17_15-32-16_260595134347_rgbf000138-resize,0.232228417,0.232228417,3.497120727,-3.497120727,26.95445197,4.5315
1000,480789,001150_2014-06-17_15-27-34_260595134347_rgbf000108-resize,0.140292874,0.140292874,3.361536877,-3.361536877,11.08813907,4.0325
1000,480789,000665_2014-06-09_20-42-35_260595134347_rgbf000110-resize,0.671012977,0.671012977,2.386036877,-2.386036877,18.49880761,3.057
